gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year
1943003,2,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2,1987
1943003,3,1987,0.0,0.0,0.0,0.0,2.65,0.0,23.34,0.0,36.92,5.49,46.45,40.37,18.67,3.87,0.0,0.0,3.06,0.0,0.0,0.0,0.0,17.05,50.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1987
1943003,4,1987,0.0,0.0,0.0,40.44,0.0,60.28,0.0,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58,0.0,0.0,0.0,0.0,5.37,,4,1987
1943003,5,1987,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,12.46,0.0,0.32,0.0,0.0,10.43,3.97,0.0,5,1987
1943003,6,1987,0.0,0.0,0.0,0.0,0.0,0.0,5.76,12.52,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.09,0.0,0.0,0.0,0.0,0.0,0.0,0.9,6.51,0.0,0.0,0.0,0.0,0.0,,6,1987
1943003,7,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1987
1943003,8,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1987
1943003,9,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.81,20.02,0.0,8.93,7.33,13.59,0.0,0.0,0.0,0.0,0.0,0.0,,9,1987
1943003,10,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,17.37,6.93,0.0,0.0,25.33,0.56,0.0,0.0,0.0,0.0,0.0,10,1987
1943003,11,1987,1.85,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,42.05,13.76,0.0,0.0,0.0,0.0,64.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,23.44,23.44,0.0,,11,1987
1943003,12,1987,0.0,21.45,4.97,20.06,16.09,9.14,40.72,23.44,24.83,0.0,21.45,21.06,23.44,24.83,9.34,4.77,0.0,0.0,17.68,12.51,13.51,16.69,18.47,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,12,1987
1943003,1,1988,0.0,14.73,11.0,7.37,26.69,26.69,48.36,17.4,5.76,6.19,7.37,26.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1988
1943003,2,1988,,,,,,0.0,0.41,0.0,30.2,32.77,49.63,46.51,0.18,0.0,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,4.28,3.5,14.11,0.0,0.0,0.0,0.0,,,2,1988
1943003,3,1988,0.0,0.0,0.0,0.0,45.39,50.76,0.0,0.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63,3,1988
1943003,4,1988,0.0,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,5.21,2.2,18.24,0.0,0.0,0.0,12.83,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,0.0,,4,1988
1943003,5,1988,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,1.81,5.69,0.0,9.39,0.0,0.0,0.0,0.0,5,1988
