,elnino_metric,month,n,p_value,r_value,sig,station
0,nino12a,6.0,56.0,0.8340607442918159,-0.028635251259069842,0.0,1943035
0,nino3.4a,12.0,69.0,0.845639770859231,-0.023870029899082733,0.0,1943025
0,nino4a,5.0,69.0,0.8569202493175941,-0.022106288407267957,0.0,1943025
0,nino3a,6.0,68.0,0.8663704946269721,-0.020789017804854083,0.0,1943025
0,nino3a,12.0,69.0,0.9535898270297813,-0.007136672126275622,0.0,1943025
0,nino12a,8.0,55.0,0.9765513178336696,-0.004056482641916032,0.0,1943035
0,nino3.4a,5.0,65.0,0.9831242464575558,-0.0026755172924081277,0.0,1943003
0,nino12a,3.0,68.0,0.9851646723005827,-0.00229749491341619,0.0,1943025
0,nino12a,7.0,56.0,0.9770652743732198,0.003930295951618094,0.0,1943035
0,nino3a,2.0,61.0,0.9735846423508867,0.0043292024069791785,0.0,1843002
0,nino12a,8.0,62.0,0.9702502029724889,0.0048347711427864275,0.0,1843002
0,nino3.4a,5.0,60.0,0.9203961768378852,0.013178174318930652,0.0,1843002
0,nino12a,6.0,60.0,0.9018745547129965,0.01625810407363944,0.0,1843002
0,nino3a,6.0,60.0,0.8492127714555755,0.02506825544584372,0.0,1843002
0,nino12a,7.0,60.0,0.8295871394155077,0.02837757757971604,0.0,1843002
0,nino3.4a,2.0,68.0,0.8168326337925518,0.028612865191239095,0.0,1943025
0,nino3a,6.0,56.0,0.8299010233236974,0.02936376576027715,0.0,1943035
0,nino3.4a,2.0,61.0,0.8090721781895298,0.03158233189300712,0.0,1843002
0,nino3a,2.0,58.0,0.7919317723324772,0.03539875569368184,0.0,1943035
0,nino4a,12.0,69.0,0.7548143255802927,0.03828179964924502,0.0,1943025
0,nino12a,2.0,61.0,0.7433114380618917,0.042794516302924995,0.0,1843002
0,nino12a,5.0,65.0,0.7322416010368739,0.04325735295067828,0.0,1943003
0,nino3a,5.0,65.0,0.7284171931005841,0.04389982889830498,0.0,1943003
0,nino3.4a,3.0,68.0,0.7216360368856625,0.043999268198179994,0.0,1943025
0,nino3a,4.0,65.0,0.7254647356266488,0.04439658056502434,0.0,1943003
0,nino3.4a,6.0,65.0,0.7244901238497515,0.04456070596718442,0.0,1943003
0,nino12a,12.0,62.0,0.666805625923081,0.05577055023895018,0.0,1943003
0,nino4a,7.0,56.0,0.6807002817326053,0.05621439333026046,0.0,1943035
0,nino3.4a,2.0,58.0,0.6364395361935027,0.06338359530441585,0.0,1943035
0,nino3a,8.0,55.0,0.6382117256968042,0.06482400899668099,0.0,1943035
0,nino3a,3.0,68.0,0.5769279739581836,0.06884867900625671,0.0,1943025
0,nino4a,9.0,62.0,0.5783271986141295,0.071963356941911,0.0,1843002
0,nino4a,2.0,68.0,0.5589814256077641,0.07210798900562705,0.0,1943025
0,nino3a,7.0,56.0,0.5960599302943725,0.07237359014485147,0.0,1943035
0,nino3a,4.0,60.0,0.5628209858252453,0.0761983987299295,0.0,1843002
0,nino3a,6.0,65.0,0.5308017274194632,0.07915657794169632,0.0,1943003
0,nino4a,2.0,61.0,0.5392270812840282,0.08014375485304796,0.0,1843002
0,nino4a,8.0,55.0,0.5603725201123065,0.08023182129723114,0.0,1943035
0,nino12a,2.0,58.0,0.5434427547038883,0.08142361588864935,0.0,1943035
0,nino3.4a,8.0,55.0,0.5523674109783802,0.08186988396227537,0.0,1943035
0,nino4a,4.0,60.0,0.5337434514738784,0.08192700082454381,0.0,1843002
0,nino12a,7.0,68.0,0.4741896443524244,0.08825548680036269,0.0,1943025
0,nino3.4a,7.0,56.0,0.5023363612345669,0.09151757184829425,0.0,1943035
0,nino12a,12.0,61.0,0.4799311754022867,0.09216079233712068,0.0,1843002
0,nino3.4a,9.0,62.0,0.44680896539942805,0.09838224573850017,0.0,1843002
0,nino3.4a,4.0,60.0,0.4542006518980216,0.09845797799005418,0.0,1843002
0,nino3a,2.0,64.0,0.42465834059175145,0.1015386378608287,0.0,1943003
0,nino4a,7.0,68.0,0.3827654947506782,0.1075302568206757,0.0,1943025
0,nino3a,5.0,60.0,0.4122766004203491,0.10780667545004217,0.0,1843002
0,nino3.4a,2.0,64.0,0.39224014602208834,0.10877122657253344,0.0,1943003
0,nino3.4a,5.0,69.0,0.36908275460157036,0.10980830383117446,0.0,1943025
0,nino4a,4.0,65.0,0.3580913590689614,0.11585237451961179,0.0,1943003
0,nino4a,2.0,64.0,0.36107092892657855,0.11606688508750364,0.0,1943003
0,nino12a,7.0,65.0,0.3548708588662932,0.11662546342198694,0.0,1943003
0,nino12a,8.0,69.0,0.3317828466301982,0.11859152650775452,0.0,1943025
0,nino3.4a,4.0,65.0,0.3437993485319101,0.11931676766389093,0.0,1943003
0,nino3a,8.0,62.0,0.3549141258098937,0.11949794201727493,0.0,1843002
0,nino3.4a,8.0,62.0,0.3035626222605195,0.13278331361806844,0.0,1843002
0,nino4a,2.0,58.0,0.31811132947650106,0.13340629091779063,0.0,1943035
0,nino12a,8.0,64.0,0.2892526430621988,0.1345183430661191,0.0,1943003
0,nino4a,8.0,62.0,0.2904289605254263,0.13640938298580124,0.0,1843002
0,nino4a,7.0,60.0,0.29434781848059677,0.1376273536394482,0.0,1843002
0,nino12a,5.0,60.0,0.2804740880581892,0.14160649044623244,0.0,1843002
0,nino3a,7.0,60.0,0.27957960487308,0.14186744737477527,0.0,1843002
0,nino12a,2.0,64.0,0.24872074505810238,0.14628874871590328,0.0,1943003
0,nino3a,9.0,62.0,0.2456637514879435,0.1496538456932496,0.0,1843002
0,nino4a,8.0,69.0,0.21654497626019686,0.1506705156477863,0.0,1943025
0,nino4a,5.0,55.0,0.24935726130181998,0.15797459963382823,0.0,1943035
0,nino12a,4.0,69.0,0.1936391762625066,0.15839187238559005,0.0,1943025
0,nino3.4a,8.0,69.0,0.18695620058447246,0.16076707371778523,0.0,1943025
